Qty,Value,Package,Part IDs,Description,DigiKey PN,Manufacturer Name,Manufacturer PN
1,,PUD-PTH,J1,CONN HEADER R/A 14POS 2MM,455-2488-ND,JST Sales America Inc.,S14B-PUDSS-1(LF)(SN)
1,,,J2,CONN RCPT USB2.0 MINI B SMD R/A,151-1206-1-ND,EDAC Inc.,690-005-299-043
1,,,J3,CONN HEADER R/A 6POS 2.54MM,952-2247-ND,Harwin Inc.,M20-9960645
2,,,"J4, J5",CONN HDR 7POS 0.1 TIN PCB,S7005-ND,Sullins Connector Solutions,PPTC071LFBN-RC
1,,,J6,CONN PWR JACK 2X5.5MM SOLDER,CP-102AH-ND,CUI Inc.,PJ-102AH
1,,,S1,SWITCH SLIDE DPDT 300MA 125V,450-1589-ND,TE Connectivity ALCOSWITCH Switches,1825263-1
2,,,"S2, S3",SWITCH SLIDE SPST 8.5A 125V,CWI333-ND,CW Industries,GF-123-0054
1,,,S4,SWITCH SLIDE DP3T 200MA 30V,EG1944-ND,E-Switch,EG2301A
1,,TSSOP16,U1,NXP SC16IS740 I2C/SPI to UART bridge,568-3648-5-ND,NXP USA Inc.,"SC16IS740IPW,112"
1,,28-SSOP,U3,IC USB FS SERIAL UART 28-SSOP,768-1306-ND,FTDI,FT232RL-TUBE
1,,HC-49/U,Q1,CRYSTAL 1.8432MHZ 13PF T/H,X1000-ND,ECS Inc.,ECS-18-13-1X
3,,1206,"LED1, LED2, LED3",LED GREEN CLEAR 1206 SMD,160-1404-1-ND,Lite-On Inc.,LTST-C150KGKT
1,,1206,L1,FERRITE BEAD 50 OHM 1206 1LN,240-2412-1-ND,Laird-Signal Integrity Products,HI1206T500R-10
4,0.1uF,1206,"C3, C5, C14, C16",CAP CER 0.1UF 50V X7R 1206,399-C1206C104K5RAC7800CT-ND,KEMET,C1206C104K5RAC7800
2,10uF,1206,"C1, C6",CAP CER 10UF 16V X7R 1206,399-3525-1-ND,KEMET,C1206C106K4RACTU
1,22pF,1206,C2,CAP CER 22PF 50V C0G/NP0 1206,399-8165-1-ND,KEMET,C1206C220K5GACTU
1,33pF,1206,C4,CAP CER 33PF 50V C0G/NP0 1206,399-1199-1-ND,KEMET,C1206C330J5GACTU
3,1k,1206,"R3, R4, R5",RES 1K OHM 1% 1/2W 1206,RNCP1206FTD1K00CT-ND,Stackpole Electronics Inc,RNCP1206FTD1K00
2,220R,1206,"R1, R2",RES 220 OHM 5% 1/4W 1206,RMCF1206JT220RCT-ND,Stackpole Electronics Inc,RMCF1206JT220R